32138, the School, classroom building, classroom 1
32148, the School, classroom building, classroom 2
32158, the School, classroom building, library room
32168, the School, classroom building, music room
32178, the School, classroom building, art room
32188, the School, classroom building, sports room
32198, the School, classroom building, corridor
32139, the School, canteen, student canteen
32149, the School, canteen, staff canteen
32159, the School, headmasters' office and dormitory, office
32169, the School, headmasters' office and dormitory, living room
32179, the School, headmasters' office and dormitory, bathroom
32189, the School, headmasters' office and dormitory, bedroom
32199, the School, Isabella Rodriguez's office and dormitory, office
32140, the School, Isabella Rodriguez's office and dormitory, living room
32150, the School, Isabella Rodriguez's office and dormitory, bathroom
32160, the School, pond, island 1
32170, the School, pond, island 2
32180, the School, Isabella Rodriguez's office and dormitory, bedroom
32190, the School, playground, playground
32200, the School, laundry room, laundry room 1
32141, the School, Ayesha Khan's office and dormitory, office
32151, the School, Ayesha Khan's office and dormitory, living room
32161, the School, Ayesha Khan's office and dormitory, bathroom
32171, the School, Ayesha Khan's office and dormitory, bedroom
32181, the School, Jane Moreno's office and dormitory, office
32191, the School, Jane Moreno's office and dormitory, living room
32201, the School, Jane Moreno's office and dormitory, bathroom
32142, the School, Jane Moreno's office and dormitory, bedroom
32152, the School, Latoya Williams's office and dormitory, office
32162, the School, Latoya Williams's office and dormitory, living room
32172, the School, Latoya Williams's office and dormitory, bathroom
32182, the School, Latoya Williams's office and dormitory, bedroom
32192, the School, teacher5's office and dormitory, office
32202, the School, teacher5's office and dormitory, living room
32143, the School, teacher5's office and dormitory, bathroom
32153, the School, teacher5's office and dormitory, bedroom
32163, the School, student dormitory 1, common room
32173, the School, student dormitory 1, bathroom
32183, the School, student dormitory 1, balcony
32174, the School, student dormitory 2, common room
32184, the School, student dormitory 2, bathroom
32194, the School, student dormitory 2, balcony
32204, the School, student dormitory 3, common room
32205, the School, student dormitory 3, bathroom
32215, the School, student dormitory 3, balcony
32225, the School, student dormitory 4, common room
32235, the School, student dormitory 4, bathroom
32245, the School, student dormitory 4, balcony
32255, the School, student dormitory 5, common room
32265, the School, student dormitory 5, bathroom
32275, the School, student dormitory 5, balcony
32206, the School, student dormitory 6, common room
32216, the School, student dormitory 6, bathroom
32226, the School, student dormitory 6, balcony
32236, the School, laundry room, laundry room 2
