32227, the School, <all>, bed
32237, the School, <all>, desk
32247, the School, <all>, closet
32257, the School, <all>, shelf
32267, the School, <all>, easel
32277, the School, <all>, bathroom sink
32208, the School, <all>, shower
32218, the School, <all>, toilet
32228, the School, <all>, restaurant sink
32238, the School, <all>, refrigerator
32248, the School, <all>, toaster
32258, the School, <all>, buffet table
32268, the School, <all>, student restaurant table
32278, the School, <all>, teacher restaurant table
32209, the School, <all>, guitar
32219, the School, <all>, microphone
32229, the School, <all>, coffee machine
32239, the School, <all>, tray rack
32249, the School, <all>, sofa
32259, the School, <all>, washing machine
32269, the School, <all>, piano
32279, the School, <all>, blackboard
32210, the School, <all>, game console
32220, the School, <all>, computer desk
32230, the School, <all>, computer
32240, the School, <all>, library sofa
32250, the School, <all>, bookshelf
32260, the School, <all>, library table
32270, the School, <all>, classroom student seating
32280, the School, <all>, classroom podium
32211, the School, <all>, bench press station
32221, the School, <all>, hand drum
32231, the School, <all>, bass drum
32241, the School, <all>, snare drum
32251, the School, <all>, drum kit
32261, the School, <all>, vending machine
32271, the School, <all>, coffee vending machine
32281, the School, <all>, cello
32212, the School, <all>, speaker
32222, the School, <all>, ping pong table
32232, the School, <all>, vault base
32242, the School, <all>, kettlebell
32252, the School, <all>, dumbbell rack
32262, the School, <all>, harp
32272, the School, <all>, lifting weight
32282, the School, <all>, pool table
32213, the School, <all>, hatsune miku figure
32223, the School, <all>, soccer field
32233, the School, <all>, running track
32243, the School, <all>, potted plant
32253, the School, <all>, island in the pond
32284, the School, <all>, long jump pit
